"PRODUCT_NAME","DEPARTMENT","CATEGORY","SKU","SELLER","BRAND","PRICE_CURRENT","PRICE_RETAIL","REVIEW_COUNT","REVIEW_RATING","RunDate"
"Aztec Secret Indian Healing Clay Facial Treatment 16 Ounce","Skin Care","Face Masks","229924920","Walmart.com","Aztec Secret Indian Healing Clay",9.98,9.98,36,4.6,"2022-03-20 03:01:11"
"Freeman Dead Sea Minerals Anti-Stress Clay Facial Mask, Face Mask Balances Skin Moisture, Clears Pores, Made With Lavender and Bergamot For All Skin Types, 6 fl. oz./175 mL Tube","Skin Care","Face Masks","28985952","Walmart.com","Freeman",4.66,6.26,1428,4.4,"2022-03-20 03:01:11"
"Freeman Polishing Charcoal & Black Sugar Facial Gel Mask & Mask, Purifies Skin Without Over Drying, Exfoliating To Remove Dead Skin Cells, Perfect For All Skin Types, 6 fl.oz./ 175 mL Tube","Skin Care","Face Masks","46754551","Walmart.com","Freeman",3.27,7.80,5153,4.3,"2022-03-20 03:01:11"
"Caudalie Purifying Mask, Normal to Combination Skin, 2.5 Oz","Skin Care","Face Masks","147265089","VivaBella","",33.08,33.08,1,5.0,"2022-03-20 03:01:11"
"Freeman Cosmic Holographic Luminizing Rose Quartz Peel Off Facial Mask, Face Mask Removes Impurities, Brightens Complexion, Perfect For All Skin Types, 0.33 fl.oz./ 10 mL Sachet","Skin Care","Face Masks","914074036","Vitabox","Freeman",7.61,7.61,20,3.6,"2022-03-20 03:01:11"
"Purifying Black Peel off Mask, Charcoal Face Mask, Blackhead Remover Deep Cleanser, Acne Black Mud Face Mask","Skin Care","Face Masks","615748114","Dazzle Games LLC","TekDeals",9.95,9.95,168,3.5,"2022-03-20 03:01:11"
"Smyrna Anti-Aging, Anti Wrinkle 24k Gold Collagen Eye Pads Patches, Eye Mask - For Puffy Eyes, Dark Circles, Puffiness ( 10 Pairs )","Skin Care","Face Masks","372372430","Health & Beauty Products Central","Smyrna",10.45,10.45,25,3.5,"2022-03-20 03:01:11"
"Freeman Purifying Avocado & Oatmeal Clay Facial Mask, Face Mask Instantly Deep Cleans, Creates Fresh Skin With Vitamin E, Perfect For Normal To Combination Skin, 6 fl.oz./175 mL Tube","Skin Care","Face Masks","36532180","Walmart.com","Freeman",3.39,4.12,1874,4.4,"2022-03-20 03:01:11"
"Laneige Lip Sleeping Mask Berry, 0.70 Fl Oz","Skin Care","Face Masks","759798679","BeautyPOP","Laneige",16.80,16.80,118,4.5,"2022-03-20 03:01:11"
"Soo'AE Black Charcoal Peel Off Mask, 2.8 fl. oz.","Skin Care","Face Masks","426757121","Walmart.com","Soo'AE",7.12,7.12,183,4.0,"2022-03-20 03:01:11"
"Neutrogena Moisturizing Hydro Boost Hydrating Face Mask, 1 oz","Skin Care","Face Masks","491676560","Walmart.com","Neutrogena",2.62,9.27,405,4.1,"2022-03-20 03:01:11"
"Garnier Black Peel - Off Mask with Charcoal, SkinActive, 1.7 fl. oz.","Skin Care","Face Masks","141540534","Walmart.com","Garnier",7.79,7.79,1125,4.3,"2022-03-20 03:01:11"
"Saisze Blackhead Remover Pore Strip Face Mask Peeling Acne Treatment Deep Cleansing Kit","Skin Care","Face Masks","415788077","WANGO","Saisze",8.99,55.56,24,3.7,"2022-03-20 03:01:11"
"So Fresh So Clean Powerful Peel Off Black Mask, 5 oz","Skin Care","Face Masks","622218425","Walmart.com","So Fresh",6.96,6.96,95,3.7,"2022-03-20 03:01:11"
"Freeman Detoxifying, Pore Cleansing, Facial Mask Collection - Variety Pack of 7","Skin Care","Face Masks","195209042","Walmart.com","Freeman",10.49,15.99,2,4.0,"2022-03-20 03:01:11"
"Hydrating Aloe And Seaberry Sheet Mask By Freeman, 0.84 Oz","Skin Care","Face Masks","230969176","Walmart.com","Freeman",2.50,2.50,75,4.5,"2022-03-20 03:01:11"
"Mielle Organics Pomegranate & Honey Hydrating Face Mask, 3.5 Fl Oz","Skin Care","Face Masks","763072565","Walmart.com","",5.59,19.97,2,3.0,"2022-03-20 03:01:11"
"Celavi Beauty & Cosmetics Korea Skin Care Moisturizing Essence Paper Sheet Facial Mask, 0.74 oz, 9 Pack","Skin Care","Face Masks","242449101","No.1 Beauty & Cosmetic, Inc.","Celavi Beauty & Cosmetics",8.98,8.98,31,4.7,"2022-03-20 03:01:11"
"Celavi Collagen Facial Face Mask (24-Sheets) Classic Korean Skincare | Lighten, Moisturize, Tighten Skin | Diminish Dark Spots & Circles | Brighten, Balance Pigmentation (2 of each mix)","Skin Care","Face Masks","566117210","No.1 Beauty & Cosmetic, Inc.","",21.99,21.99,14,4.9,"2022-03-20 03:01:11"
"Freeman Hydrating Glacier Water & Pink Peony Gel Cream Facial Mask, Leave on Face Mask, Calms, Refreshes Skin, and Soothes, For All Skin Types, 0.5 fl.oz./ 15 mL Sachet","Skin Care","Face Masks","970133152","Vitabox","Freeman",7.40,7.40,623,4.4,"2022-03-20 03:01:11"
"Yes To Grapefruit Iridescent Peel-Off Mask, 0.33 fl oz","Skin Care","Face Masks","162911303","Walmart.com","Yes To",3.28,3.28,6,4.3,"2022-03-20 03:01:11"
"Yes To Tomatoes Detoxifying Charcoal Mud Mask for Acne, 2 Oz","Skin Care","Face Masks","46463044","Walmart.com","Yes To",7.00,15.84,6,3.5,"2022-03-20 03:01:11"
"SPASCRIPTIONS Clay Charcoal & Dead Sea Mineral Face Mask With Applicator, 1.7 oz (3 Pack)","Skin Care","Face Masks","295734747","AmericaRx Smart Shop","SPASCRIPTIONS",12.95,12.95,33,3.7,"2022-03-20 03:01:11"
"Bior Charcoal Whipped Purifying Detox Mask, 4 oz","Skin Care","Face Masks","964252971","Walmart.com","Bior",5.15,6.47,90,4.4,"2022-03-20 03:01:11"
"Spascriptions Rose, Gold & Cucumber Gel Face Mask","Skin Care","Face Masks","810393674","Walmart.com","SPASCRIPTIONS",9.30,9.30,123,4.4,"2022-03-20 03:01:11"
"AsaVea Blackhead Extractor Peel Off Mask with Brush, 3.17 fl oz","Skin Care","Face Masks","640047734","EMStore","AsaVea",12.39,14.69,4,4.3,"2022-03-20 03:01:11"
"60pcs Gold Collagen Eye Mask Remove Dark Circles Whitening Firming Sleep Mask Moisturizing Eye Patches Eyes Skin Care","Skin Care","Face Masks","931127977","Joybuy Express","Wisremt",11.99,11.99,1,5.0,"2022-03-20 03:01:11"
"Freeman Deep Clearing Facial Clay Mask + Cleanser, Manuka Honey + Tea Tree Oil 6 oz","Skin Care","Face Masks","253579056","Bradley Sales","Freeman",9.00,9.00,446,4.5,"2022-03-20 03:01:11"
"Neutrogena Clear Pore 2-in-1 Facial Cleanser & Clay Mask, 4.2 fl. oz","Skin Care","Face Masks","10849684","Walmart.com","Neutrogena",6.77,6.77,1082,4.3,"2022-03-20 03:01:11"
"SpaLife Fabulous Fruit Sheet Facial Mask Collection, 0.81 oz, 12 Pack","Skin Care","Face Masks","798320170","My Spa Life LLC","SpaLife",12.99,25.98,1,5.0,"2022-03-20 03:01:11"
"Hawwwy 24k Gold Eye Masks Collagen Under Eye Pads for Dark Circles, Puffy Eyes and Wrinkles","Skin Care","Face Masks","283038442","RGA HAWWWY LLC","Hawwwy",12.99,12.99,13,4.5,"2022-03-20 03:01:11"
"Freeman Feeling Beautiful Facial Peel-Off Mask Cucumber 6 oz","Skin Care","Face Masks","209091241","Pharmapacks","Freeman",7.54,7.54,47,4.3,"2022-03-20 03:01:11"
"Celavi Beauty & Cosmetics Collagen Facial Face Sheet Mask, 0.74 oz, 12 Count","Skin Care","Face Masks","461180764","No.1 Beauty & Cosmetic, Inc.","Celavi Beauty & Cosmetics",12.99,12.99,9,3.7,"2022-03-20 03:01:11"
"Equate Beauty Charcoal Pore Strips for Nose & Face Combo Pack, 14 count","Skin Care","Face Masks","120248993","Walmart.com","Equate",5.12,5.12,108,3.4,"2022-03-20 03:01:11"
"Pretty Animalz Panda Calming Sheet Mask - 1 Mask / 21 ml / 0.71 US fl Oz.","Skin Care","Face Masks","706592151","Walmart.com","Pretty Animalz",4.92,5.48,0,0.0,"2022-03-20 03:01:11"
"Yes To Tomatoes Detoxifying Bubbling Paper Mask, 0.67 fl oz","Skin Care","Face Masks","642113111","Walmart.com","Yes To",3.98,3.98,8,4.3,"2022-03-20 03:01:11"
"Under Eye Patches Gold Eye Mask Anti-Aging Hyaluronic Acid","Skin Care","Face Masks","797634857","S Pride Group","SWISSOKOLAB",13.97,13.97,13,4.5,"2022-03-20 03:01:11"
"Laneige Water Sleeping Mask EX 15 mL (6-PACK) Travel Size","Skin Care","Face Masks","683204826","BeautyPOP","Laneige",13.65,13.65,12,4.3,"2022-03-20 03:01:11"
"Olay Hydrating Overnight Gel Face Mask with Vitamin E, 50 mL","Skin Care","Face Masks","286428042","Always-Quality","Olay",13.52,13.52,141,4.5,"2022-03-20 03:01:11"
"Face Lift Double Chin Reducer Slim Shape and Firming Mask. Lipo Applicator (5 Masks)","Skin Care","Face Masks","788172859","MedactiveUSA corp","MedAcitve",23.77,23.77,80,4.5,"2022-03-20 03:01:11"
"SheaMoisture Mud Mask Packette African Black Soap 0.5 oz","Skin Care","Face Masks","52509272","Walmart.com","SheaMoisture",2.48,2.48,35,3.9,"2022-03-20 03:01:11"
"SheaMoisture African Black Soap Clarifying Mud Mask, 4 oz","Skin Care","Face Masks","50104001","Walmart.com","SheaMoisture",11.97,11.97,72,3.8,"2022-03-20 03:01:11"
